epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.1596,1.53033,4.56681,1.75902,0.42571,0.18862,0.13628,0.07641,1.17478,3.28305,1.75429,0.000110159,0.000110159,0.000110159
2,162.545,1.25318,3.47072,1.5276,0.6051,0.33158,0.36404,0.24645,1.20655,3.66463,1.84286,0.00021678,0.00021678,0.00021678
3,241.992,1.25525,2.93791,1.51033,0.51505,0.41423,0.48197,0.33496,1.08302,2.69468,1.65526,0.000319006,0.000319006,0.000319006
4,320.53,1.19995,2.51747,1.44866,0.86114,0.31131,0.48944,0.35819,1.10748,2.87844,1.67165,0.00031322,0.00031322,0.00031322
5,399.244,1.16402,2.17229,1.41643,0.61733,0.56983,0.63208,0.37697,1.37937,2.20923,1.91099,0.000306626,0.000306626,0.000306626
6,477.456,1.13544,2.06396,1.37916,0.58529,0.48555,0.58646,0.4047,1.14294,2.77142,1.72382,0.000300033,0.000300033,0.000300033
7,555.537,1.12314,1.89516,1.37125,0.86281,0.29693,0.52221,0.36375,1.0754,2.74075,1.58056,0.00029344,0.00029344,0.00029344
8,633.937,1.0963,1.74348,1.34234,0.79269,0.45202,0.72161,0.50481,1.0997,2.54441,1.62449,0.000286846,0.000286846,0.000286846
9,711.984,1.06563,1.64443,1.32874,0.86312,0.36913,0.59922,0.43784,1.04957,2.75978,1.57018,0.000280253,0.000280253,0.000280253
10,789.942,1.03076,1.50611,1.30131,0.61468,0.56643,0.69865,0.48208,1.1869,2.40397,1.70125,0.000273659,0.000273659,0.000273659
11,868.27,1.02239,1.46631,1.29174,0.5332,0.55078,0.65028,0.48737,1.02251,2.77672,1.56768,0.000267066,0.000267066,0.000267066
12,946.192,1.02278,1.37696,1.29293,0.62131,0.55802,0.69531,0.48171,1.13049,2.61016,1.70357,0.000260473,0.000260473,0.000260473
13,1024.14,0.99835,1.33397,1.2799,0.65341,0.54886,0.73699,0.52619,1.03306,2.41081,1.56575,0.000253879,0.000253879,0.000253879
14,1102.1,0.98364,1.29516,1.26476,0.72506,0.54879,0.69121,0.47884,1.16482,2.6345,1.67662,0.000247286,0.000247286,0.000247286
